ID,Number,Stream,Sample_Name,Site_Code,Date,Time,BOTTLE_NOTES,SAMPLE_TTYPE,Temp,Chla,Turbidity,TSS,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,NO3_N,NH4_N,DIN,DON,ANC,H,Ca,Mg,Na,K,NH4,F,CL,NO3,PO4,SO4,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,%ION,DIFF,%_COND,COND,LAB_NOTES
FCW 490,490,Chambers Lake,CBRR_060921,CBRR,6/9/2021,15:00,,NORM,,1.18,3.1,2,4.18,0.74,7.03,351.74,51.85,1.45,0.02,0.86,1.3,6.59,0.02,0.69,0.01,0,4.98,0,0.02,0.02,0.72,351.74,0.09,328.94,106.56,63.2,22,1.23,1,19.34,0.13,0,103.61,475.82,522.02,997.84,-4.63,520.7,123.08,397.62,OK,-1.56,OK,51.04,
FCW 491,491,Chambers Lake Outflow,CHD_060921,CHD,6/9/2021,15:15,,NORM,,1.54,3.5,2.11,4.08,0.46,7.02,332.64,47.93,1.46,0.01,0.84,1.17,6.12,0.03,0.77,0.3,0,4.7,0.07,0.01,0.07,0.38,332.64,0.1,305.19,96.11,63.68,21.41,0.5,1.63,21.62,4.77,0,97.89,458.56,486.98,945.54,-3.01,486.39,124.28,362.11,OK,1.24,OK,48.52,
FCW 492,492,Chambers Lake Outflow,CHD_060921,CHD,6/9/2021,15:15,,DUPLICATE,,1.56,3.8,3.06,4.03,0.44,7.01,350.57,49.31,1.47,0.01,0.83,1.18,6.25,0.03,0.64,0.29,0,4.7,0.07,0.01,0.07,0.37,350.57,0.1,311.93,97.1,63.81,21.31,0.5,1.63,18.03,4.75,0,97.79,472.77,494.74,967.51,-2.27,494.14,120.57,373.57,OK,0.22,OK,49.42,
FCW 509,509,Long Draw Reservoir,LNGR_061621,LNGR,6/16/2021,9:40,,NORM,,0.47,,2,4.41,0.54,6.59,202.93,32.63,0.84,0.03,0.5,0.78,4.84,0.21,0.23,0.57,0,3.95,0.13,0.02,0.15,0.39,202.93,0.26,241.52,64.43,36.36,12.89,1.72,11.26,6.37,9.25,0,82.14,311.95,357.18,669.14,-6.76,355.2,97.77,257.44,OK,5.21,OK,34.33,
FCW 510,510,Long Draw Reservoir Outflow,LNGO_061621,LNGO,6/16/2021,10:15,,NORM,,0.72,3.3,2,4.35,0.5,6.6,194,31.76,0.75,0.03,0.46,0.71,4.41,0.17,0.19,0.56,0,3.69,0.13,0.03,0.15,0.35,194,0.25,220.16,58.01,32.67,11.66,1.88,8.74,5.44,8.97,0,76.77,293.91,324.64,618.55,-4.97,322.5,91.18,231.33,OK,0.13,OK,31.8,
FCW 511,511,Peterson Reservoir Outflow,PTRO_061621,PTRO,6/16/2021,11:14,,NORM,,2.6,3,3,7.69,0.48,6.72,163.9,40.78,1.41,0.06,1.27,0.75,4.93,0.02,0.78,0.01,0,6.85,0,0.05,0.05,0.43,163.9,0.19,245.86,61.39,61.16,32.38,3.44,0.89,22.03,0.1,0,142.52,329.44,404.41,733.85,-10.22,400.78,164.65,236.14,OK,-1.33,OK,40.23,
FCW 512,512,Peterson Reservoir,PTRR_061621,PTRR,6/16/2021,11:33,,NORM,,4.11,3,0,8,0.55,6.68,164.27,41.22,1.44,0.09,1.28,0.81,5.01,0.03,0.8,0.01,0,6.89,0,0.07,0.07,0.48,164.27,0.21,250.05,66.24,62.64,32.76,4.71,1.57,22.62,0.13,0,143.37,331.96,416.61,748.57,-11.31,411.69,166.12,245.58,OK,-0.52,OK,41,
FCW 513,513,Joe Wright Reservoir Inflow,JOEI_061621,JOEI,6/16/2021,12:27,,NORM,,0.27,2.5,3,4.02,0.31,6.82,299.66,40.87,1.21,0.02,0.5,1.18,5.05,0.1,0.32,0.12,0,3.46,0.03,0.02,0.04,0.26,299.66,0.15,252.15,96.77,52.81,12.66,1.16,5.47,8.98,1.93,0,72.12,388.16,415.7,803.86,-3.43,414.38,83.02,331.36,OK,-1.47,OK,40.26,
FCW 514,514,Joe Wright Reservoir Inflow,JOEI_061621,JOEI,6/16/2021,12:27,,DUPLICATE,,0.25,2.5,1.01,4.03,0.27,6.78,304.41,42.31,1.23,0.01,0.5,1.14,5.04,0.11,0.33,0.12,0,3.54,0.03,0.01,0.04,0.24,304.41,0.17,251.65,93.81,53.46,12.81,0.72,5.74,9.3,1.93,0,73.72,395.1,412.61,807.71,-2.17,411.73,84.96,326.77,OK,-4.36,OK,40.46,
FCW 515,515,Joe Wright Reservoir,JOER_0616621,JOER,6/16/2021,13:15,,NORM,,0.63,2.5,1.01,3.76,0.32,6.74,339.54,43.21,1.33,0.03,0.61,1.21,5.49,0.07,0.58,0.05,0,3.23,0.01,0.02,0.03,0.29,339.54,0.18,273.8,99.16,57.98,15.63,1.5,3.79,16.46,0.82,0,67.35,427.95,448.25,876.2,-2.32,446.57,84.62,361.95,OK,1.57,OK,43.89,
FCW 516,516,Chambers Lake Inflow,CBRI_061621,CBRI,6/16/2021,13:50,,NORM,,0.32,2.8,2.01,3.44,0.28,6.82,302.57,39.32,1.4,0.03,0.69,0.98,5.02,0.06,0.48,0.13,0,2.69,0.03,0.02,0.05,0.23,302.57,0.15,250.3,80.48,60.81,17.62,1.55,2.89,13.45,2.16,0,56.05,377.13,410.91,788.05,-4.29,409.21,71.67,337.54,OK,0.54,OK,39.53,
FCW 517,517,Barnes Meadow Reservoir Outflow,BMD_061621,BMD,6/16/2021,14:20,,NORM,,2.98,10,6.09,7.69,0.58,6.71,398.7,68.7,2.34,0.17,1.22,1.55,9.72,0.04,1.43,0.06,0,11.23,0.01,0.13,0.15,0.44,398.7,0.2,484.83,127.38,101.57,31.15,9.59,2,40.26,0.89,0,233.72,675.57,754.72,1430.29,-5.53,744.93,274.87,470.06,OK,10.98,OK,76.24,
FCW 518,518,Barnes Meadow Reservoir,BRNR_061621,BRNR,6/16/2021,14:30,,NORM,,1.66,3.6,2,7.61,0.55,7.01,405.16,71.97,2.38,0.06,1.26,1.56,9.43,0.04,1.43,0.01,0,11.8,0,0.05,0.05,0.5,405.16,0.1,470.36,128.04,103.39,32.12,3.49,2.11,40.46,0.18,0,245.6,693.51,737.51,1431.02,-3.07,733.92,286.24,447.67,OK,5.98,OK,76.28,
FCW 519,519,Chambers Lake,CBRR_061621,CBRR,6/16/2021,15:16,,NORM,,1.56,3.5,3,4.11,0.4,6.91,313.61,43.6,1.35,0.08,0.83,1.08,5.64,0.05,0.65,0.01,0,4.4,0,0.06,0.06,0.34,313.61,0.12,281.59,88.79,58.85,21.15,4.32,2.68,18.24,0.15,0,91.56,426.23,454.83,881.05,-3.25,450.38,109.94,340.44,OK,3.48,OK,45.11,
FCW 520,520,Chambers Lake Outflow,CHD_061621,CHD,6/16/2021,15:33,,NORM,,0.96,2.9,2,3.76,0.34,6.81,346.47,46.47,1.53,0.04,0.86,1.07,5.98,0.05,0.61,0.11,0,4.18,0.03,0.03,0.06,0.28,346.47,0.16,298.6,88.21,66.59,22.05,2.38,2.63,17.07,1.84,0,87.11,455.12,478,933.12,-2.45,475.46,106.02,369.43,OK,2.08,OK,47.44,
FCW 546,546,Long Draw Reservoir Outflow,LNGO_062321,LNGO,6/23/2021,10:34,NO CHLA,NORM,10,,2.9,0.2,3.79,0.52,6.99,225.38,36.74,0.79,0.04,0.46,0.81,4.95,0.11,0.18,0.58,0,4.59,0.13,0.03,0.16,0.36,225.38,0.1,247.06,66.74,34.36,11.74,2.11,5.63,5.07,9.38,0,95.62,341.08,362.1,703.18,-2.99,359.89,110.07,249.83,OK,-1.01,OK,36.37,
FCW 547,547,Long Draw Reservoir,LNGR_062321,LNGR,6/23/2021,10:00,No TSS,NORM,12.1,,4.7,7.82,3.84,0.49,6.98,222.44,38.44,0.85,0.03,0.51,0.91,5.26,0.21,0.19,0.54,0,4.51,0.12,0.02,0.14,0.35,222.44,0.11,262.67,74.72,36.8,13.07,1.55,10.84,5.42,8.7,0,93.91,341.31,388.92,730.23,-6.52,387.26,108.03,279.23,OK,-2.57,OK,37.45,
FCW 548,548,Peterson Reservoir Outflow,PTRO_062321,PTRO,6/23/2021,11:30,NO CHLA,NORM,16.9,,3,1.2,7.62,0.52,7.07,186.6,42.83,1.42,0.19,1.21,0.76,5.04,0.02,0.73,0.01,0,6.48,0,0.15,0.15,0.37,186.6,0.09,251.35,62.46,61.9,31.05,10.42,1.26,20.57,0.11,0,134.85,343.39,417.26,760.65,-9.71,406.75,155.53,251.23,OK,-3.5,OK,41.33,
FCW 549,549,Peterson Reservoir,PTRR_062321,PTRR,6/23/2021,11:43,NO CHLA,NORM,17.2,,,10.4,7.58,0.52,7.1,176.92,41.72,1.42,0.1,1.18,0.75,4.83,0.01,0.75,0.02,0,6.51,0,0.08,0.08,0.44,176.92,0.08,240.77,61.96,61.68,30.28,5.65,0.47,21.17,0.35,0,135.46,334.37,400.43,734.8,-8.99,394.69,156.98,237.71,OK,-4.07,OK,40.02,
FCW 550,550,Joe Wright Reservoir Inflow,JOEI_062321,JOEI,6/23/2021,12:45,NO CHLA,NORM,12.3,,1.6,9.4,2,0.33,7.15,376.97,50.43,1.27,0.02,0.45,1.23,5.98,0.07,0.3,0.21,0,4.53,0.05,0.01,0.06,0.27,376.97,0.07,298.15,101.3,55.29,11.38,0.89,3.68,8.4,3.44,0,94.24,486.75,467.07,953.82,2.06,466.12,106.09,360.03,OK,-5.1,OK,47.86,
FCW 551,551,Joe Wright Reservoir,JOER_062321,JOER,6/23/2021,13:15,NO CHLA,NORM,14.2,,1.5,1.5,3.51,0.3,7.13,335.87,41.91,1.21,0.02,0.55,1.07,5.27,0.05,0.49,0.01,0,2.98,0,0.01,0.01,0.29,335.87,0.07,263.17,88.13,52.81,14.02,0.89,2.37,13.84,0.13,0,61.97,414.18,419.09,833.27,-0.59,418.13,75.94,342.18,OK,-0.78,OK,41.58,
FCW 552,552,Chambers Lake Inflow,CBRI_062321,CBRI,6/23/2021,13:50,NO CHLA,NORM,9.2,,4.5,0.7,3.05,0.43,7.21,349.32,45.05,1.52,0.02,0.67,1.03,5.51,0.07,0.56,0.1,0,2.96,0.02,0.02,0.04,0.39,349.32,0.06,274.75,85,66.25,17.06,1.33,3.45,15.87,1.67,0,61.71,432.01,444.45,876.46,-1.42,443.06,79.25,363.81,OK,-2.82,OK,43.78,
FCW 553,553,Barnes Meadow Reservoir Outflow,BMD_062321,BMD,6/23/2021,14:05,NO CHLA,NORM,8.7,,5,4.14,7.29,0.45,7.1,409.22,75.93,2.32,0.04,1.14,1.46,9.27,0.04,1.38,0.15,0,10.86,0.03,0.03,0.07,0.38,409.22,0.08,462.72,120.14,101,29.18,2.44,2.11,38.88,2.34,0,226.14,678.69,715.57,1394.25,-2.65,713.05,267.36,445.69,OK,-2.63,OK,73.93,
FCW 554,554,Barnes Meadow Reservoir,BRNR_062321,BRNR,6/23/2021,14:20,No TSS,NORM,18.5,,4.5,10.2,7.52,0.7,7.32,430.99,85.43,2.39,0.04,1.2,1.49,9.25,0.04,1.38,0.01,0,11.15,0,0.03,0.04,0.67,430.99,0.05,461.53,122.61,103.96,30.56,2.38,1.95,38.99,0.18,0,232.21,704.31,721.09,1425.4,-1.18,718.66,271.37,447.28,OK,-11.69,OK,75.44,
FCW 555,555,Barnes Meadow Reservoir,BRNR_062321,BRNR,6/23/2021,14:20,No TSS,DUPLICATE,18.5,,5.5,835.2,7.53,0.71,7.28,424.26,80.71,2.39,0.05,1.2,1.51,9.26,0.04,1.39,0.01,0,11.2,0,0.04,0.04,0.67,424.26,0.05,462.23,124.17,104.05,30.79,2.77,1.89,39.25,0.13,0,233.16,698.7,724.06,1422.76,-1.78,721.24,272.54,448.7,OK,-6.59,OK,75.39,
FCW 556,556,Chambers Lake,CBRR_062321,CBRR,6/23/2021,15:00,No TSS,NORM,16.6,,3,4.7,3.92,0.51,7.16,298.52,43.69,1.32,0.03,0.84,0.99,5.54,0.05,0.58,0.01,0,4,0,0.02,0.03,0.48,298.52,0.07,276.5,81.55,57.46,21.56,1.72,2.69,16.39,0.13,0,83.18,400.91,438.86,839.77,-4.52,437.07,99.7,337.37,OK,-1.88,OK,42.87,
FCW 557,557,Chambers Lake Outflow,CHD_062321,CHD,6/23/2021,15:20,NO CHLA,NORM,9.3,,5,0.8,3.42,0.42,7.14,344.81,48.59,1.52,0.03,0.83,1.06,6.21,0.05,0.58,0.09,0,3.99,0.02,0.03,0.05,0.37,344.81,0.07,309.94,86.81,66.2,21.28,1.79,2.81,16.42,1.48,0,83.01,448.53,486.09,934.62,-4.02,484.24,100.91,383.32,OK,-2.51,OK,47.37,
FCW 607,607,Long Draw Reservoir,LNGR_063021,LNGR,6/30/2021,9:30,,NORM,11,0.51,11,0.1,3.55,0.99,7.15,448.99,45.88,0.83,0.02,0.47,0.8,5.2,0.22,0.18,0.45,0,4.54,0.1,0.02,0.12,0.87,448.99,0.07,259.38,65.99,35.89,12.1,1.16,11.53,5.17,7.3,0,94.51,567.5,374.59,942.1,20.48,373.36,106.98,266.38,OK,1.39,OK,46.52,
FCW 608,608,Long Draw Reservoir Outflow,LNGO_063021,LNGO,6/30/2021,9:50,,NORM,7,0.43,7,0.5,3.26,0.95,6.94,257.88,41.36,0.87,0.02,0.49,1.03,5.9,0.24,0.18,0.61,0,5.2,0.14,0.02,0.15,0.79,257.88,0.11,294.41,84.76,37.8,12.43,1.22,12.69,5.04,9.8,0,108.25,393.65,430.73,824.38,-4.5,429.4,123.09,306.31,OK,1.95,OK,42.17,
FCW 609,609,Peterson Reservoir Outflow,PTRO_063021,PTRO,6/30/2021,10:33,,NORM,13,2.34,13,0.7,7.54,0.98,6.92,210.85,39.86,1.51,0.09,1.25,0.73,5.16,0.06,0.71,0,0,6.28,0,0.07,0.07,0.91,210.85,0.12,257.44,60.23,65.77,32.07,4.77,3.37,19.93,0.06,0,130.68,364.9,420.4,785.3,-7.07,415.51,150.68,264.83,OK,5.64,OK,42.11,
FCW 610,610,Peterson Reservoir,PTRR_063021,PTRR,6/30/2021,10:54,,NORM,15.5,2.17,15.5,1.7,7.73,0.97,6.95,179.26,38.2,1.47,0.08,1.21,0.73,4.93,0.04,0.76,0.01,0,6.27,0,0.06,0.07,0.9,179.26,0.11,245.86,60.32,63.98,30.87,4.6,2.26,21.38,0.08,0,130.55,333.54,405.75,739.29,-9.77,401.03,152.02,249.01,OK,4.82,OK,40.04,
FCW 611,611,Joe Wright Reservoir Inflow,JOEI_063021,JOEI,6/30/2021,11:38,,NORM,9.5,0.36,9.5,1.6,1.78,0.84,6.97,388.1,47.05,1.31,0.01,0.38,1.33,6.61,0.13,0.28,0.13,0,4.44,0.03,0.01,0.04,0.8,388.1,0.11,329.99,109.61,57.03,9.64,0.72,6.95,7.83,2.04,0,92.45,497.36,507.09,1004.46,-0.97,506.26,102.31,403.95,OK,6.43,OK,50.07,
FCW 612,612,Joe Wright Reservoir,JOER_063021,JOER,6/30/2021,12:00,,NORM,11.5,0.89,11.5,2.2,3.64,0.73,7.08,394.74,46.72,1.35,0.01,0.6,1.17,5.64,0.11,0.52,0.01,0,3.06,0,0.01,0.01,0.72,394.74,0.08,281.54,96.28,58.9,15.37,0.78,5.9,14.75,0.16,0,63.81,479.37,452.94,932.31,2.83,452.08,78.73,373.35,OK,-1.39,OK,46.07,
FCW 613,613,Chambers Lake Inflow,CBRI_063021,CBRI,6/30/2021,12:30,,NORM,7,0.51,7,2.7,2.73,0.74,7.12,288.93,40.15,1.52,0.02,0.62,0.98,5.27,0.09,0.47,0.04,0,2.48,0.01,0.01,0.02,0.71,288.93,0.08,263.17,80.97,65.99,15.96,1,4.47,13.16,0.69,0,51.63,358.88,427.16,786.05,-8.69,426.09,65.48,360.61,OK,-2.25,OK,39.25,
FCW 614,614,Barnes Meadow Reservoir Outflow,BMD_063021,BMD,6/30/2021,12:45,Likely water temperature error.,NORM,7,0.81,7,4.1,7.01,0.7,7.11,377.93,74.78,2.31,0.08,1.17,1.51,10.26,0.03,1.37,0.07,0,10.16,0.02,0.06,0.08,0.63,377.93,0.08,512.18,123.93,100.65,29.98,4.27,1.47,38.66,1.15,0,211.59,630.8,771.08,1401.87,-10.01,766.73,251.4,515.33,OK,-0.57,OK,74.35,
FCW 615,615,Barnes Meadow Reservoir,BRNR_063021,BRNR,6/30/2021,13:20,,NORM,16,1.1,16,1.6,7.19,0.7,7.1,405,67.26,2.38,0.06,1.21,1.51,10.27,0.03,1.37,0.01,0,10.54,0,0.05,0.05,0.65,405,0.08,512.33,124.09,103.44,30.95,3.22,1.58,38.51,0.15,0,219.43,664.66,774.1,1438.76,-7.61,770.8,258.09,512.71,OK,13.22,OK,76.15,
FCW 616,616,Chambers Lake,CBRR_063021,CBRR,6/30/2021,13:48,,NORM,12,3.47,12,1.9,3.3,0.53,7.19,310.29,40.11,1.25,0.05,0.7,0.92,5.18,0.08,0.45,0.01,0,3.11,0,0.03,0.04,0.49,310.29,0.06,258.63,75.29,54.46,17.78,2.49,4.05,12.69,0.2,0,64.7,391.93,408.72,800.65,-2.1,406.16,77.59,328.57,OK,0.24,OK,40.21,
FCW 617,617,Chambers Lake Outflow,CHD_063021_DUPE,CHD,6/30/2021,14:15,,NORM,8,1.05,8,3.6,3.1,0.83,7.1,356.2,46.71,1.65,0.05,0.87,1.04,6.56,0.09,0.51,0.01,0,3.47,0,0.04,0.04,0.79,356.2,0.08,327.35,85.74,71.6,22.3,2.66,4.74,14.3,0.15,0,72.15,447.53,509.73,957.26,-6.5,506.99,86.6,420.39,OK,2.98,OK,48.1,
FCW 618,618,Chambers Lake Outflow,CHD_063021,CHD,6/30/2021,14:15,,DUPLICATE,8,1.01,8,2.9,2.98,0.82,7.12,355.33,45.55,1.61,0.04,0.85,1.02,6.5,0.08,0.5,0.01,0,3.39,0,0.03,0.04,0.78,355.33,0.08,324.25,83.69,70.16,21.82,2.44,4.21,14.15,0.2,0,70.65,444.54,502.43,946.97,-6.11,499.92,85,414.92,OK,4.43,OK,47.57,
FCW 619,619,Long Draw Reservoir,LNGR_070721,LNGR,7/7/2021,10:00,,NORM,11,0.92,11,0.7,3.34,0.31,6.97,212.52,38.44,0.92,0.02,0.47,0.86,5.11,0.18,0.16,0.49,0,4.88,0.11,0.02,0.13,0.18,212.52,0.11,255.04,70.6,39.8,11.92,1.22,9.37,4.46,7.88,0,101.52,335.75,378.69,714.44,-6.01,377.36,113.86,263.5,OK,-4.05,OK,36.88,
FCW 620,620,Long Draw Reservoir Outflow,LNGO_070721,LNGO,7/7/2021,10:30,,NORM,7,0.38,7,1.7,3,0.39,6.81,238.69,42.45,0.92,0.03,0.45,0.93,5.75,0.2,0.14,0.69,0,5.75,0.15,0.03,0.18,0.21,238.69,0.16,286.98,76.69,40.19,11.56,1.83,10.26,4.04,11.06,0,119.78,383.84,417.41,801.24,-4.19,415.42,134.89,280.54,OK,-2.18,OK,41.52,
FCW 621,621,Peterson Reservoir,PTRR_070721,PTRR,7/7/2021,11:40,,NORM,13,0.49,13,1.3,7.51,0.62,6.74,171.36,40.99,1.58,0.16,1.18,0.76,4.87,0.02,0.74,0.11,0,6.48,0.02,0.13,0.15,0.46,171.36,0.18,243.21,62.87,68.51,30.08,9.04,1.21,20.93,1.72,0,134.83,330.05,413.89,743.94,-11.27,404.67,157.48,247.19,OK,-0.98,OK,40.59,
FCW 622,622,Peterson Reservoir Outflow,PTRO_070721,PTRO,7/7/2021,11:20,,NORM,1.8,0.51,1.8,0,7.22,0.55,7,136.86,40.25,1.64,0.15,1.24,0.76,5.21,0.02,0.76,0.12,0,6.53,0.03,0.12,0.15,0.41,136.86,0.1,259.73,62.7,71.47,31.77,8.48,1.21,21.43,1.97,0,135.95,297.41,434.25,731.66,-18.7,425.67,159.35,266.32,OK,0.04,OK,40.27,
FCW 623,623,Joe Wright Reservoir Inflow,JOEI_070721,JOEI,7/7/2021,12:20,,NORM,11,0.35,11,0.9,1.29,0.24,6.95,407.85,54.74,1.4,0.02,0.36,1.39,7.18,0.11,0.21,0.36,0,5.44,0.08,0.02,0.1,0.14,407.85,0.11,358.48,114.22,60.68,9.08,1.11,5.9,6.01,5.77,0,113.3,538.82,543.68,1082.5,-0.45,542.46,125.08,417.37,OK,-0.59,OK,54.42,
FCW 624,624,Joe Wright Reservoir,JOER_070721,JOER,7/7/2021,12:50,,NORM,11,0.69,11,0.6,3.28,0.27,6.99,321.8,43.86,1.43,0.03,0.57,1.18,5.5,0.09,0.47,0.01,0,3.24,0,0.02,0.03,0.24,321.8,0.1,274.45,96.85,62.11,14.55,1.77,4.53,13.4,0.15,0,67.48,407.35,449.85,857.2,-4.96,447.97,81.02,366.95,OK,-2.21,OK,42.89,
FCW 625,625,Joe Wright Reservoir,JOER_070721,JOER,7/7/2021,12:50,,DUPLICATE,11,0.88,11,1.7,3.19,0.23,7,319.44,44.33,1.43,0.03,0.58,1.19,5.62,0.09,0.48,0.01,0,3.25,0,0.03,0.03,0.2,319.44,0.1,280.24,97.68,62.25,14.73,1.83,4.47,13.41,0.13,0,67.65,405.11,456.82,861.93,-6,454.89,81.19,373.7,OK,-2.65,OK,43.16,
FCW 626,626,Chambers Lake Inflow,CBRI_070721,CBRI,7/7/2021,13:30,,NORM,7,0.56,7,0.3,2.76,0.28,7.06,354.5,44.29,1.65,0.04,0.65,1.1,5.97,0.04,0.51,0.19,0,2.89,0.04,0.03,0.07,0.21,354.5,0.09,298.1,90.68,71.6,16.65,2.11,2.16,14.44,2.99,0,60.26,434.36,479.23,913.58,-4.91,477.03,77.69,399.34,OK,3.11,OK,45.67,
FCW 627,627,Barnes Meadow Reservoir Outflow,BMD_070721,BMD,7/7/2021,13:50,,NORM,13,0.5,13,7.3,7.03,0.51,6.81,415.86,76.7,2.36,0.15,1.17,1.49,9.96,0.04,1.67,0.18,0,10.53,0.04,0.12,0.16,0.35,415.86,0.15,497.11,122.36,102.57,29.8,8.37,1.95,47.13,2.84,0,219.31,687.09,760.36,1447.45,-5.06,751.83,269.28,482.55,OK,0.24,OK,76.88,
FCW 628,628,Barnes Meadow Reservoir,BRNR_070721,BRNR,7/7/2021,14:25,,NORM,19,1.23,19,0.7,7.16,0.4,7.2,427.88,79.26,2.41,0.04,1.27,1.72,10,0.06,1.75,0.15,0,10.86,0.03,0.03,0.06,0.34,427.88,0.06,499.15,141.37,104.87,32.38,2.05,3.26,49.34,2.42,0,226.01,708.92,779.89,1488.81,-4.77,777.77,277.78,500,OK,-0.58,OK,78.8,
FCW 629,629,Chambers Lake,CBRR_070721,CBRR,7/7/2021,15:15,,NORM,17,2.13,17,2.3,3.14,0.23,7.33,297.13,42.25,1.39,0.04,0.72,1.05,5.54,0.07,0.48,0.11,0,3.2,0.02,0.03,0.05,0.17,297.13,0.05,276.65,86.73,60.46,18.52,1.94,3.42,13.56,1.72,0,66.69,382.51,444.34,826.86,-7.48,442.36,81.97,360.39,OK,-1.23,OK,41.72,
FCW 630,630,Chambers Lake Outflow,CHD_070721,CHD,7/7/2021,15:30,No TSS,NORM,10,1.22,10,,2.7,0.17,6.98,383.65,52.49,1.9,0.04,0.98,1.27,7.41,0.04,0.61,0.17,0,3.76,0.04,0.03,0.07,0.1,383.65,0.1,369.96,104.51,82.6,25.07,2.05,1.95,17.11,2.79,0,78.29,483.78,584.29,1068.07,-9.41,582.13,98.18,483.95,OK,2.74,OK,53.93,
FCW 631,631,Hourglass Reservoir Outflow,HORO_070921,HORO,7/9/2021,10:13,NO TSS; 500 mL chla,NORM,14,1.7,14,,2.58,0.21,6.74,116.01,18.61,1.12,0.04,0.32,0.44,2.31,0.02,0.29,0.11,0,1.38,0.02,0.03,0.06,0.15,116.01,0.18,115.02,35.8,48.67,8.26,2.44,1.11,8.04,1.71,0,28.7,155.57,210.37,365.94,-14.98,207.75,38.45,169.3,OK,0.51,OK,18.7,
FCW 632,632,Hourglass Reservoir,HORR_070932,HORR,7/9/2021,10:25,NO TSS,NORM,14,1.36,14,,2.55,0.21,6.71,110.49,17.49,1.1,0.03,0.31,0.44,2.08,0.02,0.16,0.18,0,1.36,0.04,0.02,0.06,0.15,110.49,0.2,103.59,35.88,47.89,7.95,1.55,1,4.56,2.92,0,28.25,147.23,197.06,344.3,-14.47,195.32,35.74,159.58,OK,0.28,OK,17.54,
